survey=ada_a5_e5c_geometry_ablation
label,key_count,tokens_pruned_legacy,tokens_pruned_v2,total,legacy_exact,v2_exact,v2_gain
natural-0-a1.5-p16-l8,64,0,0,64,true,true,0
natural-1-a1.5-p16-l8,128,0,0,128,true,true,0
natural-2-a1.5-p16-l8,256,0,0,256,true,true,0
natural-3-a1.5-p16-l8,512,0,0,512,true,true,0
natural-4-a1.5-p16-l8,64,0,0,64,true,true,0
natural-5-a1.5-p16-l8,128,24,24,128,true,true,0
natural-6-a1.5-p16-l8,256,72,72,256,true,true,0
natural-7-a1.5-p16-l8,512,104,104,512,true,true,0
natural-8-a1.5-p16-l8,64,0,0,64,true,true,0
natural-9-a1.5-p16-l8,128,0,0,128,true,true,0
natural-10-a1.5-p16-l8,256,0,0,256,true,true,0
natural-11-a1.5-p16-l8,512,0,0,512,true,true,0
natural-12-a1.5-p16-l8,64,0,0,64,true,true,0
natural-13-a1.5-p16-l8,128,0,0,128,true,true,0
natural-14-a1.5-p16-l8,256,0,0,256,true,true,0
natural-15-a1.5-p16-l8,512,0,0,512,true,true,0
natural-16-a1.5-p16-l8,64,0,0,64,true,true,0
natural-17-a1.5-p16-l8,128,0,0,128,true,true,0
natural-18-a1.5-p16-l8,256,0,0,256,true,true,0
natural-19-a1.5-p16-l8,512,0,0,512,true,true,0
natural-20-a1.5-p16-l8,64,0,0,64,true,true,0
natural-21-a1.5-p16-l8,128,0,0,128,true,true,0
natural-22-a1.5-p16-l8,256,0,0,256,true,true,0
natural-23-a1.5-p16-l8,512,0,0,512,true,true,0
natural-24-a1.5-p16-l8,64,0,0,64,true,true,0
natural-25-a1.5-p16-l8,128,0,0,128,true,true,0
natural-26-a1.5-p16-l8,256,0,0,256,true,true,0
natural-27-a1.5-p16-l8,512,0,0,512,true,true,0
natural-28-a1.5-p16-l8,64,0,0,64,true,true,0
natural-29-a1.5-p16-l8,128,0,0,128,true,true,0
natural-30-a1.5-p16-l8,256,0,0,256,true,true,0
natural-31-a1.5-p16-l8,512,0,0,512,true,true,0
natural-32-a1.5-p16-l8,64,0,0,64,true,true,0
natural-33-a1.5-p16-l8,128,0,0,128,true,true,0
natural-34-a1.5-p16-l8,256,8,16,256,true,true,8
natural-35-a1.5-p16-l8,512,312,336,512,true,true,24
natural-36-a1.5-p16-l8,64,0,0,64,true,true,0
natural-37-a1.5-p16-l8,128,0,0,128,true,true,0
natural-38-a1.5-p16-l8,256,40,56,256,true,true,16
natural-39-a1.5-p16-l8,512,216,248,512,true,true,32
natural-40-a1.5-p16-l8,64,0,0,64,true,true,0
natural-41-a1.5-p16-l8,128,0,0,128,true,true,0
natural-42-a1.5-p16-l8,256,40,56,256,true,true,16
natural-43-a1.5-p16-l8,512,48,48,512,true,true,0
natural-44-a1.5-p16-l8,64,0,0,64,true,true,0
natural-45-a1.5-p16-l8,128,0,0,128,true,true,0
natural-46-a1.5-p16-l8,256,0,0,256,true,true,0
natural-47-a1.5-p16-l8,512,0,0,512,true,true,0
natural-48-a1.5-p16-l8,64,0,0,64,true,true,0
natural-49-a1.5-p16-l8,128,0,0,128,true,true,0
natural-50-a1.5-p16-l8,256,0,0,256,true,true,0
natural-51-a1.5-p16-l8,512,8,8,512,true,true,0
natural-52-a1.5-p16-l8,64,0,0,64,true,true,0
natural-53-a1.5-p16-l8,128,0,0,128,true,true,0
natural-54-a1.5-p16-l8,256,0,0,256,true,true,0
natural-55-a1.5-p16-l8,512,96,96,512,true,true,0
natural-56-a1.5-p16-l8,64,0,0,64,true,true,0
natural-57-a1.5-p16-l8,128,0,0,128,true,true,0
natural-58-a1.5-p16-l8,256,0,0,256,true,true,0
natural-59-a1.5-p16-l8,512,8,8,512,true,true,0
natural-60-a1.5-p16-l8,64,0,0,64,true,true,0
natural-61-a1.5-p16-l8,128,0,0,128,true,true,0
natural-62-a1.5-p16-l8,256,0,0,256,true,true,0
natural-63-a1.5-p16-l8,512,0,0,512,true,true,0
natural-64-a1.5-p16-l8,64,0,0,64,true,true,0
natural-65-a1.5-p16-l8,128,0,0,128,true,true,0
natural-66-a1.5-p16-l8,256,0,0,256,true,true,0
natural-67-a1.5-p16-l8,512,0,0,512,true,true,0
natural-68-a1.5-p16-l8,64,0,0,64,true,true,0
natural-69-a1.5-p16-l8,128,0,0,128,true,true,0
natural-70-a1.5-p16-l8,256,0,0,256,true,true,0
natural-71-a1.5-p16-l8,512,0,0,512,true,true,0
natural-72-a1.5-p16-l8,64,0,0,64,true,true,0
natural-73-a1.5-p16-l8,128,0,0,128,true,true,0
natural-74-a1.5-p16-l8,256,56,72,256,true,true,16
natural-75-a1.5-p16-l8,512,0,0,512,true,true,0
natural-76-a1.5-p16-l8,64,0,0,64,true,true,0
natural-77-a1.5-p16-l8,128,0,0,128,true,true,0
natural-78-a1.5-p16-l8,256,32,40,256,true,true,8
natural-79-a1.5-p16-l8,512,16,16,512,true,true,0
natural-80-a1.5-p16-l8,64,8,16,64,true,true,8
natural-81-a1.5-p16-l8,128,32,48,128,true,true,16
natural-82-a1.5-p16-l8,256,136,144,256,true,true,8
natural-83-a1.5-p16-l8,512,192,232,512,true,true,40
natural-84-a1.5-p16-l8,64,0,0,64,true,true,0
natural-85-a1.5-p16-l8,128,24,24,128,true,true,0
natural-86-a1.5-p16-l8,256,24,24,256,true,true,0
natural-87-a1.5-p16-l8,512,24,32,512,true,true,8
natural-88-a1.5-p16-l8,64,0,0,64,true,true,0
natural-89-a1.5-p16-l8,128,16,16,128,true,true,0
natural-90-a1.5-p16-l8,256,120,120,256,true,true,0
natural-91-a1.5-p16-l8,512,24,32,512,true,true,8
natural-92-a1.5-p16-l8,64,0,0,64,true,true,0
natural-93-a1.5-p16-l8,128,0,0,128,true,true,0
natural-94-a1.5-p16-l8,256,0,0,256,true,true,0
natural-95-a1.5-p16-l8,512,0,0,512,true,true,0
